owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
1383812,2014-05-23 00:00:00,1,Email,Ticketing,VIP,$0,$0,The Loft on Tier 1,Intermission Passes,2
1383812,2014-08-04 00:00:00,1,Email,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,Don Carlo,2
1383812,2014-08-04 00:00:00,1,Email,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,Oscar,2
1383812,2014-08-04 00:00:00,1,Email,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,The Barber of Seville,2
1383812,2014-10-02 00:00:00,2,Email,Ticketing,VIP,$0,$0,Academy of Music,The Barber of Seville,5
1383812,2014-09-15 00:00:00,1,Walk Up,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,The Barber of Seville,4
1383812,2014-09-30 00:00:00,1,Walk Up,Ticketing,OP - US Mail,$0,$0,Academy of Music,The Barber of Seville,1
1383967,2014-02-02 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$126,$0,Academy of Music,Ainadamar,3
1383967,2014-03-10 00:00:00,1,Default Channel,Ticketing Web Stbs,OP - US Mail,$0,$0,General Admission,Double Exposure,4
1384054,2014-02-12 00:00:00,1,Email,Ticketing,OP - Will Call,$0,$0,Academy of Music,Ainadamar,1
1384054,2014-04-30 00:00:00,1,Phone,Ticketing,OP - Will Call,$0,$0,Academy of Music,Don Giovanni,1
1384054,2014-09-03 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,4
1384660,2014-01-28 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$206,$0,Academy of Music,Don Giovanni,2
1384690,2014-09-23 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$278,$0,Academy of Music,The Barber of Seville,2
1384825,2014-06-13 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$208,$0,Perelman,A Coffin in Egypt,4
1384825,2014-09-27 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,4
1384908,2014-10-02 00:00:00,1,Email,Ticketing,OP - Will Call,$0,$0,Academy of Music,The Barber of Seville,2
1384908,2014-02-12 00:00:00,1,Web,Ticketing,OP - Will Call,$0,$0,Academy of Music,Ainadamar,2
1384908,2014-09-23 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,8
1385030,2014-02-03 00:00:00,1,Default Channel,xxTP App/Web Sales,Hold at Box Office,$572,$0,Academy of Music,Don Giovanni,4
1385030,2014-04-27 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$90,$0,Academy of Music,Don Giovanni,2
1385043,2014-09-25 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,4
1385244,2014-04-24 00:00:00,1,Default Channel,xxTP App/Web Sales,Hold at Box Office,$91,$0,Academy of Music,Don Giovanni,2
1385288,2014-02-13 00:00:00,1,Default Channel,xxTP App/Web Sales,Hold at Box Office,$20,$0,Academy of Music,Ainadamar,1
1385649,2014-09-16 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,6
1385896,2014-09-30 00:00:00,1,Phone,Ticketing,OP - US Mail,$276,$0,Academy of Music,Don Carlo,2
1385896,2014-09-30 00:00:00,1,Phone,Ticketing,OP - US Mail,$276,$0,Academy of Music,Oscar,2
1386059,2014-09-30 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$58,$0,Academy of Music,The Barber of Seville,2
1386369,2014-02-06 00:00:00,1,Web,Ticketing,Guest Services,$0,$0,Academy of Music,Ainadamar,2
1386464,2014-01-08 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$174,$0,Academy of Music,Ainadamar,2
1386518,2014-06-06 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$0,$0,Perelman,A Coffin in Egypt,4
1386814,2014-08-15 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$19,$0,Academy of Music,The Barber of Seville,1
1386819,2014-08-28 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$248,$0,Academy of Music,The Barber of Seville,2
1386819,2014-08-28 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$248,$0,Perelman,Ariadne auf Naxos,2
1386848,2014-09-03 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1387445,2014-02-04 00:00:00,1,Default Channel,xxTP Phone Sales,Hold at Box Office,$266,$0,Academy of Music,Ainadamar,2
1387501,2014-02-10 00:00:00,1,Web,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,Ainadamar,2
1387770,2014-05-07 00:00:00,1,Web,Ticketing Web Stbs,OP - US Mail,$0,$0,General Admission,ToO: A Coffin in Egypt,2
1388001,2014-08-19 00:00:00,1,Phone,Ticketing,OP - US Mail,$0,$0,Academy of Music,The Barber of Seville,2
1388001,2014-09-30 00:00:00,1,Phone,Ticketing,OP - Hold at Box Office,$216,$0,Academy of Music,The Barber of Seville,1
1388001,2014-01-10 00:00:00,1,Walk Up,Ticketing,OP - Hold at Box Office,$0,$0,Academy of Music,Ainadamar,2
1388001,2014-08-20 00:00:00,1,Walk Up,Ticketing,OP - US Mail,$0,$0,Academy of Music Ballroom,Reception Passes,2
1388274,2014-09-03 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1388277,2014-09-22 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,1
1389651,2014-04-25 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$204,$0,Academy of Music,Don Giovanni,4
1389712,2014-04-17 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$296,$0,Academy of Music,Don Giovanni,2
1389783,2014-07-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$636,$0,Academy of Music,Don Carlo,2
1389783,2014-07-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$636,$0,Academy of Music,Oscar,2
1389783,2014-07-24 00:00:00,2,Phone,Ticketing,OP - US Mail,$636,$0,Academy of Music,The Barber of Seville,6
1389783,2014-09-08 00:00:00,1,Phone,Ticketing,OP - US Mail,$0,$0,Academy of Music,The Barber of Seville,4
1389783,2014-09-15 00:00:00,1,Phone,Ticketing,OP - US Mail,$144,$0,Academy of Music,The Barber of Seville,4
1390056,2014-09-04 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$49,$0,Academy of Music,The Barber of Seville,1
1390110,2014-02-14 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$306,$0,Academy of Music,Ainadamar,2
1390159,2014-04-09 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$266,$0,Academy of Music,Don Giovanni,2
1390418,2014-02-14 00:00:00,1,Phone,Ticketing,OP - Will Call,$0,$0,Academy of Music,Ainadamar,1
1390501,2014-09-17 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$381,$0,Academy of Music,The Barber of Seville,2
1390574,2014-09-14 00:00:00,1,Default Channel,xxTP App/Web Sales,Hold at Box Office,$954,$0,Academy of Music,Oscar,6
1391724,2014-09-21 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1391860,2014-09-22 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1392225,2014-12-01 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$298,$0,Academy of Music,Don Carlo,2
1392235,2014-09-03 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1392258,2014-09-03 00:00:00,1,Phone,Ticketing,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,3
1392942,2014-05-02 00:00:00,1,Web,Ticketing,OP - Will Call,$0,$0,Academy of Music,Don Giovanni,2
1392950,2014-09-29 00:00:00,1,Default Channel,xxTP App/Web Sales,Hold at Box Office,$19,$0,Academy of Music,The Barber of Seville,1
1392960,2014-10-02 00:00:00,1,Email,Ticketing,OP - Will Call,$0,$0,Academy of Music,The Barber of Seville,2
1392960,2014-02-13 00:00:00,1,Web,Ticketing,OP - Will Call,$0,$0,Academy of Music,Ainadamar,4
